Sequence number;Packet Number;RTT [ms]
1;1;14.250000
1449;2;14.250000
2897;3;14.250000
4345;4;42.625000
5793;5;1056.750000
7241;6;1071.000000
8689;7;0
10137;8;0
11585;9;0
13033;10;0
14481;11;0
15929;12;0
17377;13;1056.750000
18825;14;1070.875000
20273;15;1070.875000
21721;16;0
23169;17;0
24617;18;1056.750000
26065;19;42.500000
27513;20;1056.750000
28961;21;1071.000000
30409;22;1071.000000
31857;23;0
33305;24;0
34753;25;0
36201;26;0
37649;27;0
39097;28;0
40545;29;0
41993;30;0
43441;31;0
44889;32;0
46337;33;0
47785;34;0
49233;35;0
50681;36;0
52129;37;0
53577;38;0
55025;39;0
56473;40;0
57921;41;0
59369;42;0
60817;43;0
62265;44;0
63713;45;0
65161;46;0
66609;47;0
68057;48;0
69505;49;0
70953;50;0
72401;51;0
73849;52;0
75297;53;0
76745;54;0
78193;55;0
79641;56;0
81089;57;0
82537;58;0
83985;59;0
85433;60;0
86881;61;0
88329;62;0
89777;63;0
91225;64;0
92673;65;0
94121;66;0
95569;67;0
97017;68;0
98465;69;0
99913;70;0
101361;71;0
102809;72;0
104257;73;0
105705;74;0
107153;75;0
108601;76;0
110049;77;0
111497;78;0
112945;79;0
114393;80;0
115841;81;0
117289;82;0
118737;83;0
120185;84;0
121633;85;0
123081;86;0
124529;87;0
125977;88;0
127425;89;0
128873;90;0
130321;91;0
131769;92;0
133217;93;0
134665;94;0
136113;95;0
137561;96;0
139009;97;0
140457;98;0
141905;99;0
143353;100;0
144801;101;48.875000
146249;102;14.125000
147697;103;14.125000
149145;104;0
150593;105;0
152041;106;0
153489;107;0
154937;108;0
156385;109;14.125000
157833;110;14.250000
159281;111;14.250000
160729;112;14.250000
162177;113;14.250000
163625;114;14.250000
165073;115;14.250000
166521;116;14.250000
167969;117;14.250000
169417;118;14.250000
170865;119;14.125000
172313;120;14.125000
173761;121;14.125000
175209;122;14.125000
176657;123;14.125000
178105;124;14.125000
179553;125;14.125000
181001;126;14.125000
182449;127;14.125000
183897;128;14.125000
185345;129;14.125000
186793;130;14.125000
188241;131;14.250000
189689;132;14.250000
191137;133;14.250000
192585;134;14.250000
194033;135;14.250000
195481;136;14.250000
196929;137;14.125000
198377;138;14.125000
199825;139;14.125000
201273;140;13.625000
202721;141;13.625000
204169;142;13.625000
205617;143;14.125000
207065;144;14.125000
208513;145;14.125000
209961;146;14.125000
211409;147;14.125000
212857;148;14.125000
214305;149;14.250000
215753;150;14.250000
217201;151;14.250000
218649;152;14.250000
220097;153;14.250000
221545;154;14.250000
222993;155;14.250000
224441;156;14.250000
225889;157;14.250000
